# Modularity: 0.721650
# Modularity (with diagonal): 0.717021
Label                         	Module	Connectivity	Participation	Role
84                            	19	0.648931	0.083176	R2
93                            	19	0.648931	0.083176	R2
100                           	19	0.648931	0.083176	R2
94                            	19	0.648931	0.083176	R2
105                           	19	0.648931	0.083176	R2
106                           	19	0.648931	0.083176	R2
90                            	19	0.648931	0.083176	R2
87                            	19	0.648931	0.083176	R2
95                            	19	0.648931	0.083176	R2
103                           	19	0.648931	0.083176	R2
91                            	19	1.085835	0.071331	R2
98                            	19	0.867383	0.076800	R2
97                            	19	0.648931	0.083176	R2
166                           	18	0.956420	0.142012	R2
158                           	18	0.956420	0.142012	R2
165                           	18	0.956420	0.142012	R2
161                           	18	0.956420	0.142012	R2
162                           	18	0.956420	0.142012	R2
167                           	18	0.956420	0.142012	R2
164                           	18	0.956420	0.142012	R2
159                           	18	0.956420	0.142012	R2
160                           	18	0.956420	0.142012	R2
157                           	18	0.956420	0.142012	R2
163                           	18	0.956420	0.142012	R2
156                           	18	0.956420	0.142012	R2
351                           	12	0.000000	0.000000	R1
349                           	12	0.000000	0.000000	R1
362                           	12	0.000000	0.000000	R1
348                           	12	0.000000	0.000000	R1
232                           	18	-0.325380	0.218750	R2
236                           	18	-0.325380	0.218750	R2
202                           	7	0.338062	0.460000	R2
203                           	7	0.338062	0.460000	R2
208                           	7	0.338062	0.460000	R2
205                           	7	0.338062	0.460000	R2
235                           	18	-0.325380	0.218750	R2
238                           	18	-0.325380	0.218750	R2
207                           	7	0.338062	0.460000	R2
233                           	18	-0.325380	0.218750	R2
234                           	18	-0.325380	0.218750	R2
204                           	7	0.338062	0.460000	R2
247                           	18	-0.325380	0.218750	R2
123                           	14	-0.172873	0.665123	R3
193                           	7	0.338062	0.460000	R2
237                           	18	-0.325380	0.218750	R2
206                           	7	2.366432	0.357143	R2
229                           	13	-2.322374	0.000000	R1
219                           	13	-2.322374	0.000000	R1
209                           	13	-2.322374	0.000000	R1
228                           	13	-2.322374	0.000000	R1
221                           	13	-2.322374	0.000000	R1
377                           	19	-1.535589	0.000000	R1
376                           	19	-1.535589	0.000000	R1
343                           	0	-0.246183	0.000000	R1
331                           	0	1.477098	0.244898	R2
344                           	0	-0.246183	0.000000	R1
322                           	0	1.477098	0.244898	R2
342                           	0	-0.246183	0.000000	R1
345                           	3	-0.481155	0.000000	R1
284                           	3	1.568983	0.000000	R1
346                           	3	-0.481155	0.000000	R1
347                           	3	-0.481155	0.000000	R1
367                           	18	-1.350819	0.000000	R1
309                           	18	-0.838100	0.277778	R2
356                           	18	-1.350819	0.000000	R1
306                           	18	-0.838100	0.277778	R2
307                           	18	-0.838100	0.277778	R2
355                           	18	-1.350819	0.000000	R1
296                           	18	-0.838100	0.277778	R2
308                           	18	-0.838100	0.277778	R2
403                           	19	-1.644815	0.000000	R1
323                           	19	-1.207911	0.000000	R1
111                           	14	-0.172873	0.185000	R2
110                           	14	-0.172873	0.185000	R2
113                           	14	-0.172873	0.185000	R2
121                           	14	-0.172873	0.185000	R2
108                           	14	-0.172873	0.185000	R2
119                           	14	-0.172873	0.185000	R2
122                           	14	-0.172873	0.185000	R2
114                           	14	-0.172873	0.185000	R2
116                           	14	-0.172873	0.185000	R2
118                           	14	-0.172873	0.185000	R2
107                           	14	-0.172873	0.185000	R2
120                           	14	-0.172873	0.185000	R2
125                           	14	-0.172873	0.185000	R2
109                           	14	-0.172873	0.185000	R2
288                           	8	0.000000	0.000000	R1
263                           	8	0.000000	0.000000	R1
